word,hiragana,meaning,romaji,score,used,day
お世話になっております,おせわになっております,평소 신세지고 있습니다,osewaninatteorimasu,50,true,DAY 001
いつもお世話になっております,いつもおせわになっております,항상 신세지고 있습니다,itsumoosewaninatteorimasu,50,true,DAY 001
お疲れ様です,おつかれさまです,수고 많으십니다,otsukaresamadesu,50,true,DAY 001
よろしくお願いいたします,よろしくおねがいいたします,잘 부탁드립니다,yoroshikuonegaiitashimasu,50,true,DAY 001
何卒よろしくお願いいたします,なにとぞよろしくおねがいいたします,부디 잘 부탁드립니다,nanitozoyoroshikuonegaiitashimasu,50,true,DAY 002
どうぞよろしくお願いいたします,どうぞよろしくおねがいいたします,부디 잘 부탁드립니다,douzoyoroshikuonegaiitashimasu,50,true,DAY 002
失礼いたします,しつれいいたします,실례하겠습니다,shitsureiitashimasu,50,true,DAY 002
失礼いたしました,しつれいいたしました,실례했습니다,shitsureiitashimashita,50,true,DAY 002
申し訳ございません,もうしわけございません,대단히 죄송합니다,moushiwakegozaimasen,50,true,DAY 003
申し訳ありません,もうしわけありません,죄송합니다,moushiwakearimasen,50,true,DAY 003
恐れ入ります,おそれいります,"죄송하지만, 실례합니다",osoreirimasu,50,true,DAY 003
かしこまりました,かしこまりました,알겠습니다,kashikomarimashita,50,true,DAY 003
承知いたしました,しょうちいたしました,"알겠습니다, 확인했습니다",shouchiitashimashita,50,true,DAY 004
承知しました,しょうちしました,알겠습니다,shouchishimashita,50,true,DAY 004
確認いたします,かくにんいたします,확인하겠습니다,kakuniitashimasu,50,true,DAY 004
確認いたしました,かくにんいたしました,확인했습니다,kakuniitashimashita,50,true,DAY 004
ご確認ください,ごかくにんください,확인해 주세요,gokakuninkudasai,50,true,DAY 005
ご確認のほどよろしくお願いいたします,ごかくにんのほどよろしくおねがいいたします,확인 부탁드립니다,gokakuninnohodoyoroshikuonegaiitashimasu,50,true,DAY 005
少々お待ちください,しょうしょうおまちください,잠시만 기다려 주세요,shoushouomachikudasai,50,true,DAY 005
少々お時間をいただけますか,しょうしょうおじかんをいただけますか,잠시 시간 괜찮으실까요,shoushouojikanwoitadakemasuka,50,true,DAY 005
ただいま確認しております,ただいまかくにんしております,지금 확인 중입니다,tadaimakakuninshiteorimasu,50,true,DAY 006
後ほどご連絡いたします,のちほどごれんらくいたします,나중에 다시 연락드리겠습니다,nochihodogorenrakuitashimasu,50,true,DAY 006
折り返しご連絡いたします,おりかえしごれんらくいたします,확인 후 다시 연락드리겠습니다,orikaeshigorenrakuitashimasu,50,true,DAY 006
後ほどメールをお送りいたします,のちほどメールをおおくりいたします,나중에 메일을 보내드리겠습니다,nochihodomeeruwoookuriitashimasu,50,true,DAY 006
資料をお送りいたします,しりょうをおおくりいたします,자료를 보내드리겠습니다,shiryouwoookuriitashimasu,50,true,DAY 007
添付ファイルをご確認ください,てんぷファイルをごかくにんください,첨부 파일을 확인해 주세요,tenpufairuwogokakuninkudasai,50,true,DAY 007
ご査収ください,ごさしゅうください,확인 후 수령 부탁드립니다,gosashuukudasai,50,true,DAY 007
ご返信をお待ちしております,ごへんしんをおまちしております,회신 기다리겠습니다,gohenshinwoomachishiteorimasu,50,true,DAY 007
ご都合のよろしい日時をお知らせください,ごつごうのよろしいにちじをおしらせください,편하신 일시를 알려 주세요,gotsugounoyoroshiinichijiwooshirasekudasai,50,true,DAY 008
日程を調整いたします,にっていをちょうせいいたします,일정을 조정하겠습니다,nitteiwochouseiitashimasu,50,true,DAY 008
日程を変更したいのですが,にっていをへんこうしたいのですが,일정을 변경하고 싶은데요,nitteiwohenkoushitainodesuga,50,true,DAY 008
会議の日程を確認いたします,かいぎのにっていをかくにんいたします,회의 일정을 확인하겠습니다,kaiginonitteiwokakuniitashimasu,50,true,DAY 008
本日の会議を始めます,ほんじつのかいぎをはじめます,오늘 회의를 시작하겠습니다,honjitsunokaigiwohajimemasu,50,true,DAY 009
議題に入ります,ぎだいにはいります,의제로 들어가겠습니다,gidainihairimasu,50,true,DAY 009
ご意見をお聞かせください,ごいけんをおきかせください,의견을 들려주세요,goikenwookikasekudasai,50,true,DAY 009
こちらが議事録です,こちらがぎじろくです,이쪽이 회의록입니다,kochiragagijirokudesu,50,true,DAY 009
議事録を共有いたします,ぎじろくをきょうゆういたします,회의록을 공유하겠습니다,gijirokuwokyouyuuitashimasu,50,true,DAY 010
進捗を報告いたします,しんちょくをほうこくいたします,진척 상황을 보고드리겠습니다,shinchokuhoukokuitashimasu,50,true,DAY 010
進捗はいかがでしょうか,しんちょくはいかがでしょうか,진척은 어떠신가요,shinchokuhaikagadeshouka,50,true,DAY 010
ご相談したいことがございます,ごそうだんしたいことがございます,상의드리고 싶은 일이 있습니다,gosoudanshitaikotogagozaimasu,50,true,DAY 010
ご提案ありがとうございます,ごていあんありがとうございます,제안 감사합니다,goteianarigatougozaimasu,50,true,DAY 011
検討いたします,けんとういたします,검토하겠습니다,kentouitashimasu,50,true,DAY 011
前向きに検討いたします,まえむきにけんとういたします,긍정적으로 검토하겠습니다,maemukinikentouitashimasu,50,true,DAY 011
社内で確認いたします,しゃないでかくにんいたします,사내에서 확인하겠습니다,shanaidekakuniitashimasu,50,true,DAY 011
社内で共有いたします,しゃないできょうゆういたします,사내에 공유하겠습니다,shanaidekyouyuuitashimasu,50,true,DAY 012
上司に確認いたします,じょうしにかくにんいたします,상사에게 확인하겠습니다,joushinikakuniitashimasu,50,true,DAY 012
担当者に引き継ぎます,たんとうしゃにひきつぎます,담당자에게 인계하겠습니다,tantoushanihikitsugimasu,50,true,DAY 012
担当者からご連絡いたします,たんとうしゃからごれんらくいたします,담당자가 연락드리겠습니다,tantoushakaragorenrakuitashimasu,50,true,DAY 012
担当者は席を外しております,たんとうしゃはせきをはずしております,담당자가 자리를 비웠습니다,tantoushahasekiwohazushiteorimasu,50,true,DAY 013
ただいま席を外しております,ただいませきをはずしております,지금 자리를 비웠습니다,tadaimasekiwohazushiteorimasu,50,true,DAY 013
本日は休暇をいただいております,ほんじつはきゅうかをいただいております,오늘은 휴가를 내고 있습니다,honjitsuhakyuukawoitadaiteorimasu,50,true,DAY 013
本日は不在にしております,ほんじつはふざいにしております,오늘은 부재중입니다,honjitsuhafuzainishiteorimasu,50,true,DAY 013
お電話ありがとうございます,おでんわありがとうございます,전화 주셔서 감사합니다,odenwaarigatougozaimasu,50,false,
お電話代わりました,おでんわかわりました,전화 바꿨습니다,odenwakawarimashita,50,false,
少々お待ちいただけますでしょうか,しょうしょうおまちいただけますでしょうか,잠시만 기다려 주시겠습니까,shoushouomachiitadakemasudeshouka,50,false,
お名前を頂戴してもよろしいでしょうか,おなまえをちょうだいしてもよろしいでしょうか,성함을 여쭤봐도 될까요,onamaewochoudaishitemoyoroshiideshouka,50,false,
ご用件をお伺いしてもよろしいでしょうか,ごようけんをおうかがいしてもよろしいでしょうか,용건을 여쭤봐도 될까요,goyoukenwoukagaishitemoyoroshiideshouka,50,false,
担当者におつなぎいたします,たんとうしゃにおつなぎいたします,담당자에게 연결해 드리겠습니다,tantoushaniotsunagiitashimasu,50,false,
あいにく担当者が不在です,あいにくたんとうしゃがふざいです,공교롭게도 담당자가 부재중입니다,ainikutantoushagafuzaidesu,50,false,
伝言を承ります,でんごんをうけたまわります,전언을 받겠습니다,dengonwouketamawarimasu,50,false,
折り返しお電話いたします,おりかえしおでんわいたします,다시 전화드리겠습니다,orikaeshiodenwaitashimasu,50,false,
お待たせいたしました,おまたせいたしました,기다리게 해드려 죄송합니다,omataseitashimashita,50,false,
お忙しいところ恐れ入ります,おいそがしいところおそれいります,바쁘신 와중에 죄송합니다,oisogashiitokoroosoreirimasu,50,false,
