word,hiragana,meaning,romaji,score,used,day
会社,かいしゃ,회사,kaisha,50,true,DAY 001
企業,きぎょう,기업,kigyou,50,true,DAY 001
職場,しょくば,"직장, 근무처",shokuba,50,true,DAY 001
部署,ぶしょ,부서,busho,50,true,DAY 002
部門,ぶもん,"부문, 부서",bumon,50,true,DAY 002
本社,ほんしゃ,본사,honsha,50,true,DAY 002
支社,ししゃ,지사,shisha,50,true,DAY 003
支店,してん,지점,shiten,50,true,DAY 003
営業部,えいぎょうぶ,영업부,eigyoubu,50,true,DAY 003
総務部,そうむぶ,총무부,soumubu,50,true,DAY 004
人事部,じんじぶ,인사부,jinjibu,50,true,DAY 004
経理部,けいりぶ,"경리부, 재무부서",keiribu,50,true,DAY 004
企画部,きかくぶ,기획부,kikakubu,50,true,DAY 005
広報部,こうほうぶ,홍보부,kouhoubu,50,true,DAY 005
担当,たんとう,담당,tantou,50,true,DAY 005
担当者,たんとうしゃ,담당자,tantousha,50,true,DAY 006
責任者,せきにんしゃ,책임자,sekininsha,50,true,DAY 006
上司,じょうし,상사,joushi,50,true,DAY 006
部下,ぶか,부하 직원,buka,50,true,DAY 007
同僚,どうりょう,동료,douryou,50,true,DAY 007
先輩,せんぱい,선배,senpai,50,true,DAY 007
後輩,こうはい,후배,kouhai,50,true,DAY 008
社員,しゃいん,"사원, 직원",shain,50,true,DAY 008
新入社員,しんにゅうしゃいん,신입 사원,shinnyuushain,50,true,DAY 008
正社員,せいしゃいん,정사원,seishain,50,true,DAY 009
契約社員,けいやくしゃいん,계약직 사원,keiyakushain,50,true,DAY 009
派遣社員,はけんしゃいん,파견 직원,hakenshain,50,true,DAY 009
取引先,とりひきさき,거래처,torihikisaki,50,true,DAY 010
顧客,こきゃく,고객,kokyaku,50,true,DAY 010
お客様,おきゃくさま,고객님,okyakusama,50,true,DAY 010
来客,らいきゃく,"방문객, 내방객",raikyaku,50,true,DAY 011
商談,しょうだん,"상담, 비즈니스 협의",shoudan,50,true,DAY 011
契約,けいやく,계약,keiyaku,50,true,DAY 011
見積もり,みつもり,견적,mitsumori,50,true,DAY 012
見積書,みつもりしょ,견적서,mitsumorisho,50,true,DAY 012
請求書,せいきゅうしょ,청구서,seikyuusho,50,true,DAY 012
領収書,りょうしゅうしょ,영수증,ryoushuusho,50,true,DAY 013
