word,frequency
expression,5
角,4
上,4
止める,3
埋める,3
擦る,3
縁,3
～日,3
下る,3
下,3
音,3
後,3
最中,2
様,2
獣,2
溝,2
主,2
脅かす,2
我,2
～画,2
頭,2
来る,2
市場,2
値,2
情緒,2
粋,2
濯ぐ,2
世論,2
先,2
早急,2
反る,2
大家,2
堪える,2
重複,2
塵,2
突く,2
手数,2
弾く,2
叩く,2
実,2
種,2
執着,2
出生,2
札,2
解ける,2
面目,2
目下,2
股,2
歪む,2
避ける,2
人気,2
～家,2
～所,2
～前,2
～等,2
相変わらず,2
預かる,2
温まる,2
当たり前,2
脂,2
争う,2
慌てる,2
案外,2
一昨日,2
写る,2
有無,2
応援,2
御～,2
蚊,2
貝,2
重ねる,2
飾り,2
楽器,2
活躍,2
課程,2
鐘,2
歌謡,2
殻,2
乾かす,2
間隔,2
乾燥,2
感想,2
期限,2
休息,2
琴,2
郡,2
碁,2
校舎,2
公正,2
紅葉,2
刺さる,2
刺す,2
酸性,2
四季,2
湿気,2
湿度,2
実力,2
児童,2
地味,2
重体,2
賞品,2
省略,2
酢,2
する,2
姓,2
性質,2
生長,2
生年月日,2
攻める,2
洗剤,2
全身,2
宣伝,2
そば,2
揃える,2
対照,2
大分,2
題名,2
高める,2
畳む,2
建つ,2
足袋,2
長～,2
通勤,2
通訳,2
次ぐ,2
伝わる,2
繋がる,2
積む,2
停電,2
東洋,2
溶ける,2
留まる,2
泊める,2
中身,2
殴る,2
生る,2
鈍い,2
煮る,2
掃く,2
外れる,2
派手,2
反省,2
冷やす,2
広げる,2
深まる,2
蒸す,2
不通,2
故郷,2
包装,2
解く,2
診る,2
蒸し暑い,2
名詞,2
名刺,2
面接,2
やかん,2
友好,2
容器,2
寄せる,2
寮,2
例外,2
分かれる,2
品,2
数,2
末,2
為る,2
生,2
行き,2
抱く,2
市,2
魚,2
運転,2
柄,2
描く,2
得る,2
円,2
額,2
方々,2
金,2
空,2
球,2
管,2
工場,2
今日,2
都,2
明後日,2
無,2
綿,2
文字,2
訳,2
夜,2
四,2
注ぐ,2
他,2
対,2
唯,2
中,2
梅雨,2
辛い,2
年月,2
日,2
日本,2
表,2
不,2
分,2
節,2
打つ,2
方,2
頬,2
本当,2
間,2
～月,2
開く,2
空く,2
明日,2
一日,2
九,2
～時,2
十,2
～中,2
～人,2
外,2
私,2
現像,1
原則,1
見地,1
現地,1
限定,1
原点,1
原典,1
