item,type,level,source,url
赤字,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
悪事,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
圧倒,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
扱い,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
圧力,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
過ち,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
買収,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
爆弾,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
弁護,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
弁解,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
弁明,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
貧乏,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
敏感,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
微笑,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
膨張,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
防衛,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
暴力,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
侮辱,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
部下,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
分配,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
分散,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
文書,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
無礼,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
武装,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
着手,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
近づく,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
蓄積,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
賃金,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
沈黙,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
知性,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
秩序,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
直感,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
直面,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
挑戦,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
調達,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
中断,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
忠実,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
忠告,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
打撃,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
大胆,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
妥協,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
団結,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
脱出,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
土台,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
独裁,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
独占,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
度胸,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
動員,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
同情,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
動機,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
同盟,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
同類,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
同士,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
同等,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
動揺,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
映像,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
演じる,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
不動産,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
腐敗,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
不可欠,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
復讐,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
紛争,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
相応しい,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
負傷,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
負担,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
不当,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
封鎖,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
概念,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
現地,vocab,N1,japanesetest4you,https://japanesetest4you.com/jlpt-n1-vocabulary-list/
