word,hiragana,meaning,romaji,score,used,day
～にほかならない,～にほかならない,～에 다름 아니다,ni_hokanaranai,60,false,
～に越したことはない,～にこしたことはない,～하는 것보다 나은 것은 없다,ni_koshita_koto_wa_nai,60,false,
～にたえない,～にたえない,～할 수 없다/～하기 그지없다,ni_taenai,100,false
～にかたくない,～にかたくない,～하기 어렵지 않다,ni_katakunai,60,false,
～を皮切りに,～をかわきりに,～을 시작으로,wo_kawakiri_ni,60,false,
～をもって,～をもって,～을 가지고/～로써,wo_motte,60,false,
～をよそに,～をよそに,～을 아랑곳하지 않고,wo_yoso_ni,60,false,
～をものともせず,～をものともせず,～을 개의치 않고,wo_mono_tomo_sezu,60,false,
～ずにはおかない,～ずにはおかない,반드시 ～하게 만들다,zu_niwa_okanai,100,false
～ずにはすまない,～ずにはすまない,～하지 않고는 끝나지 않는다,zu_niwa_sumanai,100,false,
～までもない,～までもない,～할 필요도 없다,made_mo_nai,60,false,
～まじき,～まじき,～해서는 안 되는,majiki,60,false,
～べからず,～べからず,～해서는 안 된다,bekarazu,60,false,
～べく,～べく,～하기 위해,beku,60,false,
～が早いか,～がはやいか,～하자마자,ga_hayai_ka,60,false,
～や否や,～やいなや,～하자마자,ya_inaya,60,false,
～なり,～なり,～하자마자,nari,60,false,
～そばから,～そばから,～하자마자 바로,soba_kara,60,false,
～とあって,～とあって,～라서,to_atte,60,false,
～とあれば,～とあれば,～라면,to_areba,60,false,
～あげく,～あげく,～한 끝에,ageku,100,false,
～あまり,～あまり,너무 ～해서,amari,60,false,
～以上(は),～いじょう,～이상,ijou,100,false,
～一方だ,～いっぽうだ,～하기만 하다,ippouda,60,false,
～うちに,～うちに,～하는 사이에,uchini_n1,60,false,
～うる,～うる,～할 수 있다,uru,100,false,
～得ない,～えない,～할 수 없다,enai,100,false,
～おそれがある,～おそれがある,～우려가 있다,osoregaaru_n1,100,false,
～かたがた,～かたがた,～겸,katagata,60,false,
～かねない,～かねない,～할지도 모른다,kanenai,60,false,
～極まりない,～きわまりない,더할 나위 없다,kiwamarinai,100,false,
～きり,～きり,～한 채,kiri,60,false,
～ことだし,～ことだし,～이기도 하니,kotodashi,60,false,
～こととて,～こととて,～인 까닭에,kototote,60,false,
～始末だ,～しまつだ,～지경이다,shimatsuda,60,false,
～ずくめ,～ずくめ,～투성이,zukume,60,false,
～そばから,～そばから,～하자마자,sobakara,60,false,
～たところで,～たところで,～해도,tatokorode,60,false,
～だに,～だに,～조차,dani,60,false,
～てからというもの,～てからというもの,～한 이후 줄곧,tekaratoiumono,60,false,
～ではあるまいし,～ではあるまいし,～도 아닌데,dewaarumaishi,60,false,
～というものだ,～というものだ,～라는 것이다,toiumonoda_n1,60,false,
～とはいえ,～とはいえ,～라고는 해도,towaie,60,false,
～とはいうものの,～とはいうものの,～라고는 하지만,towaiumonono,60,false,
～ないではすまない,～ないではすまない,～하지 않고는 안 된다,naidesumanai,100,false,
～ないものでもない,～ないものでもない,～못할 것도 없다,naimonodemonai,60,false,
～ながらも,～ながらも,～하면서도,nagaramo,60,false,
～にあって,～にあって,～에 있어서,niatte,60,false,
～に至って,～にいたって,～에 이르러,niitatte,100,false,
～に至るまで,～にいたるまで,～에 이르기까지,niitarumade,60,false,
～にかかわらず,～にかかわらず,～에 관계없이,nikakawarazu,60,false,
～にかたくない,～にかたくない,～하기 어렵지 않다,nikatakunai,60,false,
～にして,～にして,～이어서야 비로소,nishite,60,false,
～に即して,～にそくして,～에 입각하여,nisokushite,60,false,
～にたえる,～にたえる,～할 만하다,nitaeru,100,false,
～にもまして,～にもまして,～보다 더욱,nimomashite,60,false,
～のみならず,～のみならず,～뿐만 아니라,nominarazu_n1,60,false,
～ばこそ,～ばこそ,～이기 때문에,bakoso,60,false,
～まみれ,～まみれ,～투성이,mamire,60,false,
～めく,～めく,～답다,meku,60,false,
