word,hiragana,meaning,romaji,score,used,day
作法,さほう,"매너, 에티켓, 예절",sahou,60,false,
様々,さまざま,다양하다,samazama,50,false,
冷ます,さます,식히다,samasu,50,false,
覚ます,さます,깨우다,samasu_2,60,false,
冷める,さめる,"시원해지다, 닳아 없어지다",sameru,50,false,
覚める,さめる,깨다,sameru_2,60,false,
左右,さゆう,"왼쪽과 오른쪽, 영향",sayuu,60,false,
皿,さら,접시,sara,50,false,
更に,さらに,더욱이,sarani,60,false,
去る,さる,떠나다,saru,60,false,
猿,さる,원숭이,saru_2,60,false,
騒ぎ,さわぎ,소란,sawagi,60,false,
参加,さんか,참여,sanka,60,false,
参考,さんこう,"참고, 상담",sankou,60,false,
賛成,さんせい,"승인, 합의",sansei,60,false,
酸性,さんせい,신맛,sansei_2,50,false,
酸素,さんそ,산소,sanso,60,false,
氏,し,"성, 혈통",shi,50,false,
詩,し,시,shi_2,60,false,
幸せ,しあわせ,"행복, 축복",shiawase,60,false,
ジーンズ,ジーンズ,청바지,jiinzu,50,false,
ジェット機,ジェットき,제트기,jiettoki,50,false,
四角,しかく,정사각형,shikaku,50,false,
直に,じかに,"즉시, 직접",jikani,60,false,
しかも,しかも,게다가,shikamo,60,false,
四季,しき,사계절,shiki,50,false,
直,じき,"즉시, 곧",jiki,60,false,
時期,じき,"시간, 계절, 기간",jiki_2,60,false,
支給,しきゅう,"지불, 수당",shikyuu,60,false,
至急,しきゅう,긴급한,shikyuu_2,60,false,
しきりに,しきりに,"자주, 반복적으로, 열심히",shikirini,50,false,
刺激,しげき,"자극, 원동력, 유인",shigeki,60,false,
資源,しげん,자원,shigen,60,false,
事件,じけん,사건,jiken,60,false,
時刻,じこく,"시간, 시",jikoku,60,false,
自殺,じさつ,자살,jisatsu,60,false,
事実,じじつ,"사실, 진실, 현실",jijitsu,60,false,
支出,ししゅつ,"지출, 비용",shishutsu,60,false,
事情,じじょう,"상황, 이유",jijou,60,false,
詩人,しじん,시인,shijin,60,false,
自身,じしん,자신,jishin,60,false,
沈む,しずむ,"가라앉다, 우울하다",shizumu,60,false,
自然,しぜん,"자연, 즉흥적",shizen,60,false,
思想,しそう,"생각, 아이디어",shisou,60,false,
舌,した,혀,shita,60,false,
次第,しだい,"주문하다, 상황, 즉시)",shidai,60,false,
